Conditionnement;Trafic;Sens;Port;Opérateur;Unité;Sous_Catégorie;Mois;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Conteneurs;20' Plein;Import;Tan Tan;ANP;Nombre;Conteneurs;août;;;;;;;;4;;;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;;;;;90;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;;;;113;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;;;;160;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;;;;75;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;;;;183;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;;;;154;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;;;;;96;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;;;;;317;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;;;;;;227;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;;;;;;157;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;;;;;;;157;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;;;;;;178;;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;;;;;;183;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;;;;;142;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;;;;;104;;;;;;
Conteneurs;20' Plein;Cabotage-Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;;;;;166;;;;;;
